,text,user_location,location,Lat,Lon,geometry
24526,RT @NintendoAmerica: Bowser's Fury will be unleashed in a new #SuperMario3DWorld + #BowsersFury trailer tomorrow! Come back at 6am PT to se…,Pokke Village,"Pokke, West 1, 倶知安町, 虻田郡, 後志総合振興局, 北海道, 044-0051, 日本",42.9029468,140.7519635,POINT (140.7519635 42.9029468)
9361,RT @Somecallmejon: Just gonna catch the Bowser's Fury trailer real quick andOHMYGOD-- https://t.co/ry0INDajht,"Pittsburg, CA","Pittsburg, Contra Costa County, California, 94565, United States",38.0181745,-121.8901232,POINT (-121.8901232 38.0181745)
11851,RT @Plun_Yu: super saiyan mario is in bowser’s fury  holy shit https://t.co/hvD1Lk86Fg,Angers,"Angers, Maine-et-Loire, Pays de la Loire, France métropolitaine, France",47.4739884,-0.5515588,POINT (-0.5515588 47.4739884)
2880,RT @Cibles_: Ok so my theory is that the goal of Bowser's Fury is that you need to light up each of the towers to unlock that giant bell be…,"Los Angeles, USA","Los Angeles, Los Angeles County, California, United States",34.0536909,-118.242766,POINT (-118.242766 34.0536909)
4213,"RT @videogamedeals: News: ""My Nintendo members who complete the “Purchase the Super Mario™ 3D World + Bowser's Fury game” mission and 14 ad…",The Dream World ,"ดรีมเวิลด์, ถนนรังสิต-นครนายก, Pruksa Village 9, บึงยี่โถ, อำเภอธัญบุรี, จังหวัดปทุมธานี, 12130, ประเทศไทย",13.9909478,100.67517341677029,POINT (100.6751734167703 13.9909478)
18432,"@DynamoSuperX I'm gonna be honest, even if they cut out Bowser's Fury, I'd still buy it.","Kyoto, Japan - Nintendo","任天堂, 十条通り, 西九条森本町, 南区, 京都市, 京都府, 601-8502, 日本",34.9725333,135.7547843,POINT (135.7547843 34.9725333)
18532,RT @NintendoAmerica: Bowser's Fury will be unleashed in a new #SuperMario3DWorld + #BowsersFury trailer tomorrow! Come back at 6am PT to se…,My Room 🎮,"my room, شارع حراء, جدة, منطقة مكة المكرمة, 23534, السعودية",21.6125628,39.1473439,POINT (39.1473439 21.6125628)
4566,RT @Nibellion: Official key art for Bowser's Fury https://t.co/FlyRwzo6xP,"California, USA","California, United States",36.7014631,-118.755997,POINT (-118.755997 36.7014631)
13634,RT @Plun_Yu: so glad my boi bowser jr is back in bowser’s fury. getting sunshine vibes seeing him holding e gadd’s brush https://t.co/UyOlZ…,UK,United Kingdom,54.7023545,-3.2765753,POINT (-3.2765753 54.7023545)
6507,A Bigger Badder Bowser - Super Mario 3D World + Bowser's Fury - Nintendo... https://t.co/HkqBBeQcyN @YouTubeより,エロマンガ島,"Eromanga, Quilpie Shire, Queensland, Australia",-26.6674973,143.2706004,POINT (143.2706004 -26.6674973)
13795,RT @Wario64: new Super Mario Bros. 35th Anniversary collectible pin set revealed. Must purchase Super Mario 3D World + Bowser's Fury and co…,"Columbia, SC","Columbia, Richland County, South Carolina, United States",34.0007493,-81.0343313,POINT (-81.03433130000001 34.0007493)
22603,@_MissClick_ Finally! Really curious about Bowser's Fury,"Suburbia, USA","Suburbia, Glen Burnie, Anne Arundel County, Maryland, 21060, United States",39.1728862,-76.5974655,POINT (-76.5974655 39.1728862)
6160,RT @Nibellion: Official key art for Bowser's Fury https://t.co/FlyRwzo6xP,"Daly City, CA","Daly City, San Mateo County, California, United States",37.6904826,-122.4726708,POINT (-122.4726708 37.6904826)
20944,RT @NintendoAmerica: Bowser's Fury will be unleashed in a new #SuperMario3DWorld + #BowsersFury trailer tomorrow! Come back at 6am PT to se…,The Death Star,"Death Star, Richmond Valley Council, New South Wales, Australia",-29.1707174,153.2307012,POINT (153.2307012 -29.1707174)
15513,A Bigger Badder Bowser - Super Mario 3D World + Bowser's Fury - Nintendo... https://t.co/oIJvogxbgM via @YouTube OMG 😱 @MatthewMarshal7,"Detroit, MI","Detroit, Wayne County, Michigan, United States",42.3315509,-83.0466403,POINT (-83.04664030000001 42.3315509)
15026,RT @Mechazawa: Bowser's Fury https://t.co/GUqNBjbSpm,"Oshawa, Ontario","Oshawa, Durham Region, Golden Horseshoe, Ontario, Canada",43.8975558,-78.8635324,POINT (-78.8635324 43.8975558)
