,text,user_location,location,Lat,Lon
10086,50% of all the impeachments in America’s history have been against the same guy. Quite a record tbh 🤣 #ImpeachmentDay,City by the Sea,"City-by-the Sea, Aransas County, Texas, United States",27.9516878,-97.1049896
5874,RT @LaurenBaratzL: Donald John Trump has been impeached for the second time. I thank the 10 Republicans who voted with Democrats to impeach…,X ,"Córdoba, Argentina",-32.0967361,-63.7940923
25751,"THE Is HAVE IT!!!!!!! 
#IMPEACHMENTDAY #IMPEACHANDREMOVE #CNN",GNO,"Gnosjö, Järnvägsgatan, Götarp, Gnosjö, Gnosjö kommun, Jönköpings län, 33530, Sverige",57.3583756,13.7352986
59852,RT @TalbertSwan: This whataboutism by congressional bigots trying to deflect the crimes of the white supremacist mob that stormed the capit…,New York / London,"New York, Longbridge Road, London Borough of Barking and Dagenham, London, Greater London, England, IG11 8RU, United Kingdom",51.540089699999996,0.08192645651586072
6877,YES HE IS OUT #Impeach #Impeachment2 #ImpeachTrump #ImpeachmentDay #ImpeachAndRemoveTrumpNow,"Los Angeles, CA","Los Angeles, Los Angeles County, California, United States",34.0536909,-118.242766
79966,"RT @thehill: Rep. Cedric Richmond makes last floor speech calling for President Trump's impeachment: ""We said if we didn't remove him, he w…",North Carolina,"North Carolina, United States",35.6729639,-79.0392919
77831,"RT @TalbertSwan: Matt Gaetz @RepMattGaetz is a racist piece of trash.

#ImpeachmentDay",Canada,Canada,61.0666922,-107.9917071
75916,Good god someone needs a chill pill and a lie down. #ImpeachmentDay https://t.co/ritpnbcAAQ,my beautiful wales ,"My Beautiful, King Street, Macdonaldtown, Newtown, Sydney, Council of the City of Sydney, New South Wales, 2042, Australia",-33.8932313,151.1843762
28071,"RT @taradublinrocks: Every time a #Trumpocrite member of the GOP brings up the fact that there’s only a week left until Inauguration Day, I…","St Louis, MO","St. Louis, City of Saint Louis, Madison County, Illinois, United States",38.6529545,-90.24111656024635
15238,RT @thebr0keb0i: Republicans like Steve Scalise love to quote Abraham Lincoln to appear patriotic. Abraham Lincoln freed the slaves. Republ…,"Baltimore, MD","Baltimore, Maryland, United States",39.2908816,-76.610759
20073,Imagine being such a shitty President you get impeached TWICE. #ImpeachmentDay,New York ,"New York, United States",40.7127281,-74.0060152
71130,Why have they NOT expelled Lauren Boebert yet? #ImpeachmentDay,Reality,"Reality, 1423, Lake Drive Southeast, Grand Rapids, Kent County, Michigan, 49506, United States",42.9571628,-85.6342305
103235,"RT @Strandjunker: 0 Friends
0 Dogs
1 Terrorist Mob Attack
2 Impeachments
3 Wives
6 Bankruptcies
6 Deferments
68 Assaults on Women
358 Golf…","Haren (NB), Nederland","Haren, Oss, Noord-Brabant, Nederland",51.7996561,5.5835902
